,name,letter_code,num_code
0,Alabama,AL,01
1,Alaska,AK,02
2,American Samoa,AS,60
3,American Samoa *,,03
4,Arizona,AZ,04
5,Arkansas,AR,05
6,Baker Island,BI,81
7,California,CA,06
8,Canal Zone *,,07
9,Colorado,CO,08
10,Connecticut,CT,09
11,Delaware,DE,10
12,District of Columbia,DC,11
13,Florida,FL,12
14,Federated States of Micronesia,FM,64
15,Georgia,GA,13
16,Guam *,,14
17,Guam,GU,66
18,Hawaii,HI,15
19,Howland Island,HI,84
20,Idaho,ID,16
21,Illinois,IL,17
22,Indiana,IN,18
23,Iowa,IA,19
24,Jarvis Island,JI,86
25,Johnston Atoll,JA,67
26,Kansas,KS,20
27,Kentucky,KY,21
28,Kingman Reef,KR,89
29,Louisiana,LA,22
30,Maine,ME,23
31,Marshall Islands,MH,68
32,Maryland,MD,24
33,Massachusetts,MA,25
34,Michigan,MI,26
35,Midway Islands,MI,71
36,Minnesota,MN,27
37,Mississippi,MS,28
38,Missouri,MO,29
39,Montana,MT,30
40,Navassa Island,NI,76
41,Nebraska,NE,31
42,Nevada,NV,32
43,New Hampshire,NH,33
44,New Jersey,NJ,34
45,New Mexico,NM,35
46,New York,NY,36
47,North Carolina,NC,37
48,North Dakota,ND,38
49,Northern Mariana Islands,MP,69
50,Ohio,OH,39
51,Oklahoma,OK,40
52,Oregon,OR,41
53,Palau,PW,70
54,Palmyra Atoll,PA,95
55,Pennsylvania,PA,42
56,Puerto Rico *,,43
57,Puerto Rico,PR,72
58,Rhode Island,RI,44
59,South Carolina,SC,45
60,South Dakota,SD,46
61,Tennessee,TN,47
62,Texas,TX,48
63,U.S. Minor Outlying Islands,UM,74
64,Utah,UT,49
65,Vermont,VT,50
66,Virginia,VA,51
67,Virgin Islands of the U.S. *,,52
68,Virgin Islands of the U.S.,VI,78
69,Wake Island,WI,79
70,Washington,WA,53
71,West Virginia,WV,54
72,Wisconsin,WI,55
73,Wyoming,WY,56
